ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sul,PR,4105201,Interior,Estadual,Urbana,220.47412,177.156184,Feminino,Parda,Março,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
2017,Sul,RS,4317004,Interior,Estadual,Rural,165.277072,160.248587,Masculino,NA,Abril,2002,Não tem,Nunca estudou,Nunca estudou,Menos de 1 hora,Não faço trabalhos domésticos,Sim,Somente trabalhar
2017,Sudeste,SP,3514502,Interior,Estadual,Urbana,203.690643,156.841726,Masculino,Parda,Novembro,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Sul,PR,4106902,Capital,Municipal,Urbana,339.790587,307.963123,Masculino,Branca,Maio,2002,"Sim, dois",Não sei,Não sei,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2604155,Interior,Municipal,Urbana,217.298484,198.171811,Feminino,Parda,Julho,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,NA
2017,Sudeste,SP,3507605,Interior,Estadual,Urbana,255.224204,162.095158,Feminino,Parda,Maio,2003,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sul,PR,4127965,Interior,Estadual,Rural,236.909076,237.446065,Masculino,Branca,Junho,2003,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,ES,3204906,Interior,Municipal,Urbana,243.344146,237.801931,Feminino,Preta,Fevereiro,2003,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2304954,Interior,Municipal,Urbana,234.43577,276.090858,Masculino,Parda,Outubro,2002,"Sim, três",Não sei,NA,NA,NA,NA,NA
2017,Nordeste,BA,2927408,Capital,Estadual,Urbana,300.703444,249.786364,Masculino,Indígena,Agosto,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
